"Chris Paul, PG",HOU,58,31.8,5.36,1.63,6.99,11.75
"Stephen Curry, PG",GS,51,32.0,6.59,0.06,6.65,10.97
"Nikola Jokic, C",DEN,75,32.5,4.02,1.95,5.97,14.03
"Anthony Davis, PF",NO,75,36.4,1.85,3.70,5.55,15.56
"Kyle Lowry, PG",TOR,78,32.2,4.15,1.03,5.18,13.59
"Joel Embiid, C",PHI,63,30.3,1.51,3.59,5.10,10.13
"Otto Porter Jr., SF",WSH,77,31.6,2.91,2.05,4.96,12.51
"Tyus Jones, PG",MIN,82,17.9,2.38,2.40,4.78,7.27
"Giannis Antetokounmpo, PF",MIL,75,36.7,2.63,1.60,4.23,12.90
"Al Horford, PF",BOS,72,31.6,1.21,2.68,3.89,10.05
"Kemba Walker, PG",CHA,80,34.2,4.36,-0.55,3.81,12.27
"DeMarcus Cousins, C",NO,48,36.2,2.06,1.60,3.66,7.50
"Joe Ingles, SF",UTAH,82,31.5,2.14,1.36,3.50,10.81
"Kevin Love, C",CLE,59,28.0,1.81,1.59,3.40,6.92
"Kelly Olynyk, PF",MIA,76,23.4,2.44,0.90,3.34,7.11
"LaMarcus Aldridge, PF",SA,75,33.5,1.90,1.24,3.14,9.79
"Jayson Tatum, SF",BOS,80,30.5,0.95,1.97,2.92,9.23
"Ben Simmons, PG",PHI,81,33.7,1.44,1.45,2.89,10.89
"Jordan Bell, C",GS,57,14.2,0.37,2.44,2.81,3.16
"Kristaps Porzingis, PF",NY,48,32.4,0.34,2.27,2.61,5.64
"James Harden, PG",HOU,72,35.4,6.69,0.02,6.71,16.03
"Jimmy Butler, SG",MIN,59,36.7,3.61,2.78,6.39,12.80
"Victor Oladipo, SG",IND,75,34.0,2.74,3.17,5.91,14.77
"Robert Covington, SF",PHI,80,31.6,1.21,4.24,5.45,14.31
"Russell Westbrook, PG",OKC,80,36.4,3.96,1.20,5.16,15.73
"LeBron James, SF",CLE,82,36.9,5.64,-0.68,4.96,15.86
"Damian Lillard, PG",POR,73,36.6,5.28,-0.38,4.90,13.67
"Karl-Anthony Towns, C",MIN,82,35.6,3.80,0.44,4.24,13.50
"Draymond Green, PF",GS,70,32.7,0.70,3.34,4.04,10.98
"Rudy Gobert, C",UTAH,56,32.4,-1.24,5.06,3.82,8.02
"Jrue Holiday, PG",NO,81,36.1,1.63,2.10,3.73,13.12
"Kevin Durant, SF",GS,68,34.2,4.26,-0.65,3.61,10.51
"Tyreke Evans, SG",MEM,52,30.9,2.91,0.55,3.46,6.46
"Fred VanVleet, PG",TOR,76,20.0,2.60,0.80,3.40,6.18
"Nikola Mirotic, PF",NO/CHI,55,27.2,1.76,1.39,3.15,6.20
"Kyle Anderson, SF",SA,74,26.7,-0.08,3.20,3.12,7.79
"Paul George, SF",OKC,79,36.6,2.25,0.65,2.90,11.12
"Nene Hilario, C",HOU,52,14.6,-0.54,3.37,2.83,2.96
"Kyle Korver, SG",CLE,73,21.6,1.87,0.83,2.70,5.99
"Larry Nance Jr., PF",CLE/LAL,66,21.5,-0.53,3.10,2.57,5.33
"Eric Bledsoe, PG",MIL/PHX,74,31.4,2.49,0.06,2.55,8.45
"Spencer Dinwiddie, PG",BKN,80,28.8,2.61,-0.21,2.40,8.09
"Kyrie Irving, PG",BOS,60,32.2,3.74,-1.35,2.39,6.74
"Ekpe Udoh, C",UTAH,63,12.9,-1.35,3.66,2.31,2.78
"Nikola Vucevic, C",ORL,57,29.5,-0.27,2.50,2.23,5.92
"Clint Capela, C",HOU,74,27.5,-0.74,2.88,2.14,6.81
"Al-Farouq Aminu, PF",POR,69,30.0,-0.37,2.37,2.00,6.75
"Salah Mejri, C",DAL,61,12.0,-1.52,3.47,1.95,2.31
"Tomas Satoransky, SG",WSH,73,22.5,1.42,0.48,1.90,5.20
"Gary Harris, SG",DEN,67,34.4,1.71,0.14,1.85,7.31
"Jusuf Nurkic, C",POR,79,26.4,-2.28,4.08,1.80,6.53
"Andre Roberson, SG",OKC,39,26.6,-2.57,4.34,1.77,3.16
"Lucas Nogueira, C",TOR,49,8.5,-1.23,2.92,1.69,1.29
"DeMar DeRozan, SG",TOR,80,33.9,3.42,-1.76,1.66,8.39
"Davis Bertans, C",SA,77,14.1,0.64,1.01,1.65,3.28
"Marc Gasol, C",MEM,73,33.0,-0.15,1.70,1.55,6.91
"Pascal Siakam, PF",TOR,81,20.7,0.44,1.09,1.53,4.94
"Zaza Pachulia, C",GS,69,14.1,-0.32,1.78,1.46,2.99
"Andre Iguodala, SF",GS,64,25.4,-0.88,2.29,1.41,4.81
"Steven Adams, C",OKC,76,32.7,0.57,0.82,1.39,7.16
"Dwight Powell, C",DAL,79,21.2,0.32,2.11,2.43,5.82
"Ricky Rubio, PG",UTAH,77,29.3,0.41,1.98,2.39,7.85
"David West, PF",GS,73,13.7,-1.25,3.63,2.38,3.51
"Darren Collison, PG",IND,69,29.2,2.89,-0.65,2.24,6.89
"Donovan Mitchell, SG",UTAH,79,33.4,1.55,0.60,2.15,8.83
"Blake Griffin, PF",DET/LAC,58,34.0,1.90,0.21,2.11,6.59
"Eric Gordon, SG",HOU,69,31.2,2.75,-0.76,1.99,7.06
"Kyle O'Quinn, C",NY,77,18.0,0.03,1.91,1.94,4.44
"Dirk Nowitzki, C",DAL,77,24.7,1.40,0.49,1.89,6.06
"Klay Thompson, SG",GS,73,34.3,1.68,0.13,1.81,8.21
"Amir Johnson, C",PHI,74,15.8,-1.27,3.05,1.78,3.85
"Dejounte Murray, PG",SA,81,21.5,-1.86,3.60,1.74,5.33
"Trevor Ariza, SF",HOU,67,33.9,0.51,1.15,1.66,7.02
"DeMarre Carroll, SF",BKN,73,29.9,0.24,1.41,1.65,6.64
"Delon Wright, PG",TOR,69,20.8,1.08,0.57,1.65,4.29
"Paul Millsap, PF",DEN,38,30.1,-0.60,2.14,1.54,3.35
"Marvin Williams, PF",CHA,78,25.7,0.47,1.05,1.52,6.05
"Andre Drummond, C",DET,78,33.7,-0.08,1.53,1.45,7.59
"Khris Middleton, SF",MIL,82,36.4,2.57,-1.17,1.40,8.61
"Jaylen Brown, SG",BOS,70,30.7,0.48,0.91,1.39,6.11
"James Johnson, PF",MIA,73,26.6,0.02,1.35,1.37,5.49
"Kevon Looney, SF",GS,66,13.8,-0.97,2.29,1.32,2.63
"Bradley Beal, SG",WSH,82,36.3,1.99,-0.74,1.25,8.31
"PJ Tucker, SF",HOU,82,27.8,0.06,1.15,1.21,6.27
"John Wall, PG",WSH,41,34.4,1.30,-0.13,1.17,3.96
"Thaddeus Young, PF",IND,81,32.2,-0.46,1.55,1.09,6.97
"Marreese Speights, PF",ORL,52,13.0,-0.01,1.07,1.06,1.80
"Ed Davis, PF",POR,78,18.9,-1.39,2.42,1.03,3.79
"Jonas Valanciunas, C",TOR,77,22.4,-0.13,1.12,0.99,4.60
"Jeremy Lamb, SG",CHA,80,24.6,1.62,-0.64,0.98,5.14
"Josh Richardson, SF",MIA,81,33.2,0.34,0.62,0.96,6.88
